app_id,netloc,domain
com.atomicwallet.newapp.safe,api.telegram.org,api.telegram.org
com.trusteewallet,api.telegram.org,api.telegram.org
com.blockfi.mobile,storage.googleapis.com,storage.googleapis.com
com.net_cents.netcents2,storage.googleapis.com,storage.googleapis.com
com.sencoinex.android,storage.googleapis.com,storage.googleapis.com
org.qbita.bitcoin_wallet,storage.googleapis.com,storage.googleapis.com
tech.vontech.blockchain.jetoken,storage.googleapis.com,storage.googleapis.com
com.atlas.mobile.wallet,storage.googleapis.com,storage.googleapis.com
io.rapids.network.wallet,storage.googleapis.com,storage.googleapis.com
com.midasprotocol.wallet.android,storage.googleapis.com,storage.googleapis.com
com.greenaddress.greenbits_android_wallet,storage.googleapis.com,storage.googleapis.com
com.czprime,encrypted-tbn0.gstatic.com,encrypted-tbn0.gstatic.com
com.bitcoin.wallet.cryptopuce,encrypted-tbn0.gstatic.com,encrypted-tbn0.gstatic.com
com.node.coindirect,t.co,t.co
com.yamishibai.easycryptowallet123,t.co,t.co
com.Bitplicity.Bitplicityapp,sibautomation.com,sibautomation.com
za.co.rockwallet,res.cloudinary.com,res.cloudinary.com
eth.org.freewallet.app,s3-us-west-2.amazonaws.com,s3-us-west-2.amazonaws.com
com.lkrcoin.wallet,raw.githubusercontent.com,raw.githubusercontent.com
com.atlas.mobile.wallet,raw.githubusercontent.com,raw.githubusercontent.com
com.ezdefi,raw.githubusercontent.com,raw.githubusercontent.com
com.midasprotocol.wallet.android,raw.githubusercontent.com,raw.githubusercontent.com
network.celsius.wallet,raw.githubusercontent.com,raw.githubusercontent.com
app.elaphant.wallets,raw.githubusercontent.com,raw.githubusercontent.com
com.bitlox.mobilewallet,api.livechatinc.com,api.livechatinc.com
org.coinid.wallet.btc,static1.squarespace.com,static1.squarespace.com
com.bitshield.bitshieldwallet,gist.githubusercontent.com,gist.githubusercontent.com
jp.co.smartapp.gowallet,s3-ap-northeast-1.amazonaws.com,s3-ap-northeast-1.amazonaws.com
