Unnamed: 4,count
 HTTP Error 404: Not Found,31
 HTTP Error 403: Forbidden,19
No Privacy policy link,17
 <urlopen error [Errno -3] Temporary failure in name resolution>,14
 <urlopen error [Errno -2] Name or service not known>,10
 None,9
 HTTP Error 503: Service Temporarily Unavailable,7
 <urlopen error [Errno 110] Connection timed out>,3
 <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:852)>,3
 HTTP Error 522: ,3
Error code: SSL_ERROR_BAD_CERT_DOMAIN,2
 HTTP Error 502: Bad Gateway,1
 [Errno 104] Connection reset by peer,1
 HTTP Error 526: Origin SSL Certificate Error,1
 HTTP Error 403: Ip Forbidden,1
 HTTP Error 500: Internal Server Error,1
 HTTP Error 400: Bad Request,1
 HTTP Error 308: Permanent Redirect,1
 HTTP Error 307: The HTTP server returned a redirect error that would lead to an infinite loop.,1
 <urlopen error [Errno 111] Connection refused>,1
 <urlopen error [Errno 0] Error>,1
 <urlopen error [Errno -5] No address associated with hostname>,1
SSL_ERROR_UNRECOGNIZED_NAME_ALERT,1
