,app_id,count
0,app.bankowallet.android,7
1,app.codecellar.embitwallet,2
2,app.goodcrypto,5
3,app.hodlify,1
4,capital.spatium.wallet,3
5,cash.klever.blockchain.wallet,6
6,co.bacoor.android.hbwallet,5
7,co.bacoor.keyring,4
8,co.busha.android,2
9,coin98.crypto.finance.media,5
10,com.XcelTrip.XcelPay,6
11,com.airwalletofficial.air_wallet,2
12,com.ankerpay.wallet,3
13,com.anxbtc.android,3
14,com.bcoiner.webviewapp,2
15,com.bitcoinindia.Btciapp,2
16,com.bitnovo.app,4
17,com.bitpie,2
18,com.bitso.wallet,6
19,com.bitzapp,1
20,com.bitzhash.wallet.bitcoin,1
21,com.blockfolio.blockfolio,8
22,com.blocktrail.mywallet,6
23,com.bokucoin.app,3
24,com.btcc.mobiwallet,3
25,com.btcontract.wallettest,1
26,com.btcturk.pro,5
27,com.caramba.RippleWallet,3
28,com.caramba.StellarWallet,3
29,com.coinburp.mobile,6
30,com.coindcx,2
31,com.coindcx.btc,3
32,com.coinfalcon.mobile,4
33,com.coinomi.wallet,3
34,com.coinorbis.wallet,1
35,com.counos,4
36,com.crypterium,8
37,com.cryptowallet.si,3
38,com.dmaxwallet,2
39,com.dsdaq.mobiletrader,4
40,com.eletac.tronwallet,1
41,com.farhadmarket.app,3
42,com.fluidcoins.fluidcoins,3
43,com.flutter.litebit,4
44,com.friendst.strangr,5
45,com.g3shanappz.claimerbox,4
46,com.hconline.iso,9
47,com.iMe.android,7
48,com.idbtec.otppaycrypto,3
49,com.incognito.wallet,7
50,com.ixx_android,7
51,com.kinesis.kinesisapp,7
52,com.krypto,1
53,com.lightning.walletapp,1
54,com.lkrcoin.wallet,1
55,com.loafwallet,4
56,com.lumicollect.android,7
57,com.lumiwallet.android,4
58,com.luneswallet,1
59,com.magnum.wallet,2
60,com.maicoin.max,5
61,com.matrixport.mark,6
62,com.maxxwallet,3
63,com.medishares.android,8
64,com.midasprotocol.wallet.android,6
65,com.monnos.android,6
66,com.mycelium.wallet,6
67,com.mycontainer,3
68,com.net_cents.netcents2,2
69,com.nobillio.coinbaazar,5
70,com.nova.dax,5
71,com.oracle.wallet,4
72,com.panaeshacapital.pcex,4
73,com.payperless.wallet,3
74,com.paytomat,4
75,com.pint.app,6
76,com.pointpay.bank,5
77,com.polehin.android,3
78,com.prizmbit,7
79,com.pumapay.pumawallet,7
80,com.qsoft.mybtc,1
81,com.savl,8
82,com.sencoinex.android,4
83,com.signkeys.wallet.portfolio,2
84,com.spot.spot,4
85,com.studentcoin,4
86,com.trusteewallet,5
87,com.viabtc.pool,6
88,com.whitebit.android,2
89,com.wrx.wazirx,7
90,com.wswap.wallet,7
91,com.xcoex.mobile,5
92,de.langerhans.wallet,1
93,de.schildbach.wallet,1
94,de.schildbach.wallet.goldcoin,1
95,global.bithumb.android,5
96,im.status.ethereum,2
97,io.bluewallet.bluewallet,2
98,io.bolt.mibwallet,6
99,io.crypto.wallet.bitcoin.ethereum.medooza.wallet,2
100,io.hexawallet.hexa,5
101,io.nash.app,7
102,io.rscoins.network,4
103,io.uun.clet,7
104,io.wallet,5
105,it.inbitcoin.altana,2
106,kr.co.keypair.keywalletTouch,2
107,kuna.beta,7
108,net.bitstamp.app,6
109,net.iconomi.android,1
110,network.celsius.wallet,7
111,network.xyo.coin,16
112,one.mixin.messenger,7
113,org.bitcoinox.bitcoinoxwallet,1
114,org.coinid.vault,2
115,org.coinid.wallet.btc,3
116,org.coinid.wallet.grs,3
117,org.coinid.wallet.tbtc,3
118,org.coinid.wallet.tgrs,3
119,org.coinid.wallet.xmy,3
120,org.cryptosignals.bitcoin.free.wallet,3
121,org.cryptosignals.bitcoin.free.wallet1,3
122,org.cryptosignals.free.bitcoin.cash.wallet,3
123,org.guapcoin.multiwallet,1
124,org.strayacoin.bitcoinpos,2
125,org.strayacoin.litecoinpos,2
126,org.topnetwork.hiwallet,3
127,paydeepp.elegro.io,2
128,pt.ipleiria.estg.dei.yabw,1
