app_id,activity,exp_activity,exp_provider,exp_receiver,exp_service,provider,receiver,service,pct_exp_act,pct_exp_serv,pct_exp_rec,pct_exp_prov
africa.bundle.mobile.app,23.0,1.0,,2.0,2.0,5.0,7.0,10.0,0.04,0.2,0.29,
africa.buycoins.buycoinsx.basic,6.0,2.0,,2.0,1.0,2.0,3.0,7.0,0.33,0.14,0.67,
app.bankowallet.android,32.0,7.0,1.0,8.0,5.0,6.0,11.0,12.0,0.22,0.42,0.73,0.17
app.codecellar.embitwallet,7.0,,,,,2.0,,2.0,,,,
app.elaphant.wallets,63.0,2.0,,4.0,5.0,7.0,13.0,24.0,0.03,0.21,0.31,
app.goodcrypto,16.0,4.0,,2.0,1.0,5.0,7.0,9.0,0.25,0.11,0.29,
app.hodlify,8.0,,,1.0,2.0,,1.0,3.0,,0.67,1.0,
app.odapplications.bitstashwallet,32.0,1.0,,,1.0,2.0,7.0,3.0,0.03,0.33,,
appinventor.ai_Traid777.WALLETBTC,4.0,,,,,1.0,,,,,,
appinventor.ai_mlmsolution88.Troquer,1.0,,,,,1.0,,,,,,
appinventor.ai_oldgoldmen.CryptoWallet,1.0,,,,,1.0,,,,,,
asia.coins.mobile,145.0,1.0,1.0,4.0,,12.0,13.0,16.0,0.01,,0.31,0.08
augstrain.asn,67.0,1.0,1.0,2.0,4.0,7.0,10.0,26.0,0.01,0.15,0.2,0.14
bcc.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
bcn.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
bitcoin.twenty.twenty,31.0,,,,,2.0,,2.0,,,,
bitmesh.volt.wallet,11.0,1.0,,2.0,2.0,2.0,3.0,5.0,0.09,0.4,0.67,
blackdollar.bdlr.token.coin,2.0,,,,,1.0,,,,,,
btc.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
btg.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
ca.merkley.starter,2.0,,,,,2.0,,,,,,
capital.spatium.wallet,5.0,,,1.0,,1.0,4.0,6.0,,,0.25,
cash.klever.blockchain.wallet,7.0,1.0,,3.0,,6.0,8.0,12.0,0.14,,0.38,
cash.simply.wallet,3.0,,,,,2.0,3.0,,,,,
cash.usdx.wallet,4.0,1.0,,3.0,,4.0,4.0,6.0,0.25,,0.75,
ceyronmoney.ceyronwallet.ceyroncryptowallet.ceyrontoken.ceytoken.ceycoin,6.0,2.0,,,,3.0,1.0,3.0,0.33,,,
co.bacoor.android.hbwallet,5.0,,,3.0,1.0,3.0,10.0,14.0,,0.07,0.3,
co.bacoor.keyring,7.0,1.0,,3.0,1.0,3.0,4.0,8.0,0.14,0.12,0.75,
co.bitx.android.wallet,20.0,3.0,,2.0,3.0,7.0,17.0,21.0,0.15,0.14,0.12,
co.busha.android,16.0,,,1.0,,5.0,4.0,8.0,,,0.25,
co.edgesecure.app,3.0,,,4.0,1.0,6.0,12.0,8.0,,0.12,0.33,
co.ethv2,2.0,,,,,,,,,,,
co.hodlwallet,30.0,,,,,,,1.0,,,,
co.id.dompet.btc.indonesia,42.0,,,2.0,2.0,4.0,8.0,7.0,,0.29,0.25,
co.satoshiwallet.app,5.0,1.0,,4.0,4.0,3.0,10.0,9.0,0.2,0.44,0.4,
cobo.wallet,11.0,4.0,,2.0,2.0,8.0,9.0,9.0,0.36,0.22,0.22,
coin98.crypto.finance.media,12.0,2.0,,1.0,2.0,5.0,8.0,15.0,0.17,0.13,0.12,
com.Android.Inc.bitwallet,72.0,,,,1.0,2.0,1.0,1.0,,1.0,,
com.BitcoinWalletExchange.org,1.0,,,,,,,,,,,
com.Bitplicity.Bitplicityapp,6.0,,,1.0,3.0,1.0,5.0,11.0,,0.27,0.2,
com.CoinsBank.CoinsBank,59.0,,,1.0,,4.0,3.0,9.0,,,0.33,
com.XcelTrip.XcelPay,4.0,,,3.0,1.0,5.0,5.0,11.0,,0.09,0.6,
com.aax.exchange,147.0,4.0,1.0,2.0,1.0,15.0,12.0,16.0,0.03,0.06,0.17,0.07
com.adb.adbcoin,20.0,,,,1.0,2.0,,1.0,,1.0,,
com.agile.walletapp,15.0,,,2.0,1.0,3.0,3.0,4.0,,0.25,0.67,
com.airbitz,5.0,,,,,1.0,3.0,,,,,
com.airwalletofficial.air_wallet,3.0,,,2.0,,1.0,3.0,3.0,,,0.67,
com.allcoinwallet.allcoinwallet,6.0,2.0,,3.0,2.0,5.0,4.0,7.0,0.33,0.29,0.75,
com.alpha.wallet,10.0,,,,,2.0,,,,,,
com.altcoin.wallet,23.0,,,,,3.0,,2.0,,,,
com.androidwallet,60.0,2.0,,2.0,4.0,8.0,10.0,13.0,0.03,0.31,0.2,
com.ankerpay.wallet,40.0,,,,,3.0,,2.0,,,,
com.anxbtc.android,34.0,,,,,,,1.0,,,,
com.app.asbazar59,8.0,,,2.0,2.0,4.0,7.0,13.0,,0.15,0.29,
com.app.belfrics,41.0,2.0,,3.0,3.0,2.0,8.0,12.0,0.05,0.25,0.38,
com.application.bitcoiva,45.0,,,1.0,2.0,2.0,5.0,12.0,,0.17,0.2,
com.application.blocdesk,59.0,1.0,,3.0,3.0,3.0,5.0,9.0,0.02,0.33,0.6,
com.apptrack.coinom,70.0,2.0,,1.0,1.0,6.0,5.0,13.0,0.03,0.08,0.2,
com.aspanta.emcsec,11.0,,,,,,,,,,,
com.atlas.mobile.wallet,2.0,,,,,,1.0,,,,,
com.atomex.android,7.0,1.0,,1.0,,4.0,7.0,6.0,0.14,,0.14,
com.atomicwallet.newapp.safe,1.0,,,,,,,,,,,
com.b4uwallet.android,2.0,,,1.0,,4.0,3.0,7.0,,,0.33,
com.bcoiner.webviewapp,2.0,,,,,,,,,,,
com.beecrypt.beecrypthd,17.0,1.0,1.0,4.0,2.0,6.0,16.0,12.0,0.06,0.17,0.25,0.17
com.binance.dev,367.0,6.0,3.0,4.0,6.0,13.0,19.0,23.0,0.02,0.26,0.21,0.23
com.bit.btcwallet,1.0,,,,,,,,,,,
com.bitazza.android,23.0,,,3.0,1.0,8.0,14.0,15.0,,0.07,0.21,
com.bitbar.androidwallet,1.0,,,,,1.0,,,,,,
com.bitbns,13.0,3.0,,3.0,3.0,9.0,17.0,15.0,0.23,0.2,0.18,
com.bitcoin.mwallet,47.0,,,2.0,3.0,5.0,14.0,14.0,,0.21,0.14,
com.bitcoin.wallet.btc,16.0,,,1.0,2.0,5.0,11.0,14.0,,0.14,0.09,
com.bitcoin.wallet.btc.testnet,22.0,,,2.0,1.0,4.0,11.0,11.0,,0.09,0.18,
com.bitcoin.wallet.cryptopuce,4.0,,,2.0,,2.0,7.0,11.0,,,0.29,
com.bitcoinblack.wallet,4.0,,,1.0,,3.0,1.0,3.0,,,1.0,
com.bitcoinblockchain.suyd,4.0,1.0,,1.0,,1.0,5.0,7.0,0.25,,0.2,
com.bitcoinfast.androidwallet,1.0,,,,,1.0,,,,,,
com.bitcoinglobal,4.0,1.0,,2.0,1.0,5.0,4.0,9.0,0.25,0.11,0.5,
com.bitcoininc.bitcoinpay,2.0,,,,,,,,,,,
com.bitcoinindia.Btciapp,9.0,,,1.0,2.0,4.0,10.0,12.0,,0.17,0.1,
com.bitcoinofamerica.wallet,3.0,,,4.0,1.0,6.0,12.0,8.0,,0.12,0.33,
com.bitcoinscrypt.androidwallet,1.0,,,,,1.0,,,,,,
com.bitexuae,5.0,,,3.0,,2.0,5.0,9.0,,,0.6,
com.bitkub,14.0,,,3.0,,6.0,9.0,19.0,,,0.33,
com.bitlox.mobilewallet,2.0,,,,,2.0,2.0,,,,,
com.bitmart.bitmarket,74.0,1.0,1.0,,1.0,11.0,5.0,10.0,0.01,0.1,,0.09
com.bitnovo.app,67.0,,,2.0,1.0,5.0,10.0,11.0,,0.09,0.2,
com.bitorzo.wallet,5.0,1.0,,1.0,,4.0,1.0,3.0,0.2,,1.0,
com.bitpapa,7.0,,,1.0,1.0,3.0,7.0,15.0,,0.07,0.14,
com.bitpay.coincloud,6.0,3.0,,2.0,2.0,3.0,4.0,8.0,0.5,0.25,0.5,
com.bitpay.wallet,8.0,5.0,,2.0,2.0,3.0,4.0,8.0,0.62,0.25,0.5,
com.bitpie,397.0,,,,,2.0,1.0,3.0,,,,
com.bitrue.currency.exchange,10.0,1.0,,1.0,,6.0,5.0,10.0,0.1,,0.2,
com.bitshield.bitshieldwallet,3.0,,,,,1.0,1.0,,,,,
com.bitso.wallet,49.0,1.0,,2.0,2.0,3.0,7.0,14.0,0.02,0.14,0.29,
com.bitvirya.app,22.0,,,,,2.0,,,,,,
com.bityard.us2,3.0,,,1.0,,,1.0,1.0,,,1.0,
com.bitzapp,5.0,1.0,,2.0,2.0,4.0,4.0,8.0,0.2,0.25,0.5,
com.bitzhash.wallet.bitcoin,11.0,,,,,1.0,,,,,,
com.bixin.bixin_android,290.0,5.0,1.0,2.0,3.0,5.0,10.0,12.0,0.02,0.25,0.2,0.2
com.blockchain.bitcoin.wallet,16.0,,,1.0,2.0,5.0,11.0,14.0,,0.14,0.09,
com.blockchain.wallet.btc,16.0,,,1.0,2.0,6.0,11.0,14.0,,0.14,0.09,
com.blockcloud,3.0,,,,,,,,,,,
com.blockfi.mobile,15.0,1.0,,1.0,1.0,5.0,9.0,7.0,0.07,0.14,0.11,
com.blockfolio.blockfolio,10.0,2.0,,4.0,2.0,11.0,16.0,14.0,0.2,0.14,0.25,
com.blocktrail.mywallet,8.0,3.0,,4.0,2.0,4.0,7.0,11.0,0.38,0.18,0.57,
com.bokucoin.app,18.0,,,,,,,,,,,
com.bolowallet,22.0,,1.0,3.0,,6.0,6.0,8.0,,,0.5,0.17
com.breadwallet,5.0,,,2.0,1.0,5.0,11.0,11.0,,0.09,0.18,
com.btcc.mobiwallet,138.0,3.0,2.0,1.0,2.0,7.0,6.0,10.0,0.02,0.2,0.17,0.29
com.btcontract.wallettest,10.0,,,1.0,1.0,2.0,8.0,5.0,,0.2,0.12,
