file_name,signature,key_length
africa.bundle.mobile.app.apk, SHA256 + RSA, 2048-bit RSA key
africa.buycoins.buycoinsx.basic.apk, SHA256 + RSA, 4096-bit RSA key
app.bitcoin.wallet.apk,error,error
app.goodcrypto.apk, SHA256 + RSA, 4096-bit RSA key
app.hodlify.apk, SHA256 + RSA, 4096-bit RSA key
app.odapplications.bitstashwallet.apk, SHA256 + RSA, 4096-bit RSA key
appinventor.ai_mlmsolution88.Troquer.apk, SHA256 + RSA, 4096-bit RSA key
appinventor.ai_Traid777.WALLETBTC.apk, SHA256 + RSA, 4096-bit RSA key
bitcoin.twenty.twenty.apk, SHA256 + RSA, 4096-bit RSA key
ca.merkley.starter.apk, SHA256 + RSA, 4096-bit RSA key
cash.usdx.wallet.apk, SHA256 + RSA, 4096-bit RSA key
co.bitx.android.wallet.apk, SHA1 + RSA (weak), 1024-bit RSA key (weak)
co.hodlwallet.apk, SHA256 + RSA, 2048-bit RSA key
co.id.dompet.btc.indonesia.apk, SHA256 + RSA, 2048-bit RSA key
com.adb.adbcoin.apk, SHA256 + RSA, 4096-bit RSA key
com.anxbtc.android.apk, SHA256 + RSA, 2048-bit RSA key
com.app.asbazar59.apk, SHA256 + RSA, 2048-bit RSA key
com.app.belfrics.apk, SHA256 + RSA, 4096-bit RSA key
com.application.bitcoiva.apk, SHA256 + RSA, 4096-bit RSA key
com.application.blocdesk.apk, SHA256 + RSA, 4096-bit RSA key
com.apptrack.coinom.apk, SHA256 + RSA, 2048-bit RSA key
com.atomicwallet.newapp.safe.apk, SHA256 + RSA, 4096-bit RSA key
com.bcoiner.webviewapp.apk, SHA1 + RSA (weak), 1024-bit RSA key (weak)
com.bitbns.apk, SHA256 + RSA, 2048-bit RSA key
com.bitcoinglobal.apk, SHA256 + RSA, 4096-bit RSA key
com.bitcoininc.bitcoinpay.apk, SHA256 + RSA, 2048-bit RSA key
com.bitexuae.apk, SHA256 + RSA, 4096-bit RSA key
com.bitkub.apk, SHA256 + RSA, 2048-bit RSA key
com.bitmart.bitmarket.apk, SHA256 + RSA, 2048-bit RSA key
com.bitpay.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.bitso.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.bitvirya.app.apk, SHA256 + RSA, 4096-bit RSA key
com.bityard.us2.apk, SHA256 + RSA, 4096-bit RSA key
com.blockcloud.apk, SHA256 + RSA, 4096-bit RSA key
com.blockfi.mobile.apk, SHA256 + RSA, 4096-bit RSA key
com.blockfolio.blockfolio.apk, SHA1 + RSA (weak), 1024-bit RSA key (weak)
com.bokucoin.app.apk, SHA256 + RSA, 4096-bit RSA key
com.btcontract.wallettest.apk, SHA256 + RSA, 4096-bit RSA key
com.btcturk.pro.apk, SHA256 + RSA, 4096-bit RSA key
com.btuprotocol.btu_wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.buda.crypto.apk, SHA256 + RSA, 2048-bit RSA key
com.burency.app.apk, SHA256 + RSA, 4096-bit RSA key
com.caramba.StellarWallet.apk, SHA256 + RSA, 4096-bit RSA key
com.cloudmining.mineresp.apk,error,error
com.cobinhood.exchange.apk, SHA256 + RSA, 2048-bit RSA key
com.coinburp.mobile.apk, SHA256 + RSA, 4096-bit RSA key
com.coindcx.apk, SHA256 + RSA, 4096-bit RSA key
com.coindcx.btc.apk, SHA256 + RSA, 4096-bit RSA key
com.coindeal.apk, SHA256 + RSA, 4096-bit RSA key
com.coinlist.trade.apk, SHA256 + RSA, 4096-bit RSA key
com.coinmarket.android.apk, SHA256 + RSA, 2048-bit RSA key
com.coinmotion.apk, SHA256 + RSA, 4096-bit RSA key
com.coinpaprika.coins.apk, SHA256 + RSA, 2048-bit RSA key
com.coinpay.apk,error,error
com.coinpoket.apk, SHA256 + RSA, 2048-bit RSA key
com.CoinsBank.CoinsBank.apk, SHA256 + RSA, 2048-bit RSA key
com.coinspot.app.apk, SHA256 + RSA, 4096-bit RSA key
com.colodax.colodax.apk, SHA256 + RSA, 4096-bit RSA key
com.coolbitx.cwsapp.apk, SHA256 + RSA, 2048-bit RSA key
com.crypter.cryptocyrrency.apk, SHA256 + RSA, 2048-bit RSA key
com.cryptocurrency.exchange.app.online.apk, SHA256 + RSA, 2048-bit RSA key
com.cryptocurrency.jtechtrade.apk, SHA256 + RSA, 4096-bit RSA key
com.cryptooriented.exchanges.apk, SHA256 + RSA, 4096-bit RSA key
com.currency.exchange.prod2.apk, SHA256 + RSA, 2048-bit RSA key
com.czprime.apk, SHA256 + RSA, 4096-bit RSA key
com.digifinex.app.apk, SHA256 + RSA, 2048-bit RSA key
com.dmaxwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.doge.dex.apk, SHA256 + RSA, 4096-bit RSA key
com.dsdaq.mobiletrader.apk, SHA256 + RSA, 2048-bit RSA key
com.emberfund.ember.apk, SHA256 + RSA, 4096-bit RSA key
com.escrowspace.apk, SHA256 + RSA, 2048-bit RSA key
com.evercoin.apk, SHA256 + RSA, 2048-bit RSA key
com.evraon.trading.apk, SHA256 + RSA, 2048-bit RSA key
com.exmo.apk, SHA256 + RSA, 4096-bit RSA key
com.farhadmarket.app.apk, SHA256 + RSA, 2048-bit RSA key
com.flashift.flashift.apk, SHA256 + RSA, 4096-bit RSA key
