app_id,lib_name,lib_type,TargetedAds,MobileAnalytics,Analytics,AnyTrackingLibrary
africa.bundle.mobile.app,Appsflyer,Targeted ads,True,False,False,True
africa.bundle.mobile.app,Bumptech,Utility,False,False,False,False
africa.bundle.mobile.app,Google Ads,Targeted ads,True,False,False,True
africa.bundle.mobile.app,Jakewharton,Ui component,False,False,False,False
africa.bundle.mobile.app,Squareup,Payment,False,False,False,False
africa.bundle.mobile.app,Facebook,Social networking service,False,False,False,False
africa.buycoins.buycoinsx.basic,Facebook,Social networking service,False,False,False,False
africa.buycoins.buycoinsx.basic,Adobe,Utility,False,False,False,False
app.goodcrypto,Squareup,Payment,False,False,False,False
app.goodcrypto,Twitter,Social networking service,False,False,False,False
app.goodcrypto,Phonegap,Utility,False,False,False,False
app.goodcrypto,Facebook,Social networking service,False,False,False,False
app.goodcrypto,Google Ads,Targeted ads,True,False,False,True
app.hodlify,Fasterxml,Utility,False,False,False,False
app.odapplications.bitstashwallet,Squareup,Payment,False,False,False,False
app.odapplications.bitstashwallet,Fasterxml,Utility,False,False,False,False
app.odapplications.bitstashwallet,Eclipse,Utility,False,False,False,False
bitcoin.twenty.twenty,Squareup,Payment,False,False,False,False
bitcoin.twenty.twenty,Jcraft,Utility,False,False,False,False
bitcoin.twenty.twenty,Github,Utility,False,False,False,False
bitcoin.twenty.twenty,Jakewharton,Ui component,False,False,False,False
cash.usdx.wallet,Squareup,Payment,False,False,False,False
cash.usdx.wallet,Facebook,Social networking service,False,False,False,False
cash.usdx.wallet,Adobe,Utility,False,False,False,False
cash.usdx.wallet,Google Ads,Targeted ads,True,False,False,True
co.bitx.android.wallet,Fasterxml,Utility,False,False,False,False
co.bitx.android.wallet,Github,Utility,False,False,False,False
co.bitx.android.wallet,Facebook,Social networking service,False,False,False,False
co.bitx.android.wallet,Bumptech,Utility,False,False,False,False
co.bitx.android.wallet,Google Analytics,Mobile analytics,False,True,False,True
co.bitx.android.wallet,Squareup,Payment,False,False,False,False
co.hodlwallet,Squareup,Payment,False,False,False,False
co.id.dompet.btc.indonesia,Github,Utility,False,False,False,False
co.id.dompet.btc.indonesia,Crashlytics,Utilities,False,False,False,False
co.id.dompet.btc.indonesia,Google Ads,Targeted ads,True,False,False,True
com.adb.adbcoin,Squareup,Payment,False,False,False,False
com.adb.adbcoin,Github,Utility,False,False,False,False
com.adb.adbcoin,Facebook,Social networking service,False,False,False,False
com.adb.adbcoin,Bumptech,Utility,False,False,False,False
com.anxbtc.android,Fasterxml,Utility,False,False,False,False
com.anxbtc.android,Jakewharton,Ui component,False,False,False,False
com.anxbtc.android,Squareup,Payment,False,False,False,False
com.app.asbazar59,Bumptech,Utility,False,False,False,False
com.app.asbazar59,Google Ads,Targeted ads,True,False,False,True
com.app.belfrics,Jakewharton,Ui component,False,False,False,False
com.app.belfrics,Squareup,Payment,False,False,False,False
com.app.belfrics,Fasterxml,Utility,False,False,False,False
com.app.belfrics,Github,Utility,False,False,False,False
com.app.belfrics,Crashlytics,Utilities,False,False,False,False
com.app.belfrics,Google Ads,Targeted ads,True,False,False,True
com.app.belfrics,Google Analytics,Mobile analytics,False,True,False,True
com.application.bitcoiva,Github,Utility,False,False,False,False
com.application.blocdesk,Crashlytics,Utilities,False,False,False,False
com.application.blocdesk,Google Ads,Targeted ads,True,False,False,True
com.apptrack.coinom,Squareup,Payment,False,False,False,False
com.apptrack.coinom,Fasterxml,Utility,False,False,False,False
com.apptrack.coinom,Google Ads,Targeted ads,True,False,False,True
com.bcoiner.webviewapp,Google Ads,Targeted ads,True,False,False,True
com.bcoiner.webviewapp,Google Analytics,Mobile analytics,False,True,False,True
com.bitbns,Github,Utility,False,False,False,False
com.bitbns,Facebook,Social networking service,False,False,False,False
com.bitbns,Appsflyer,Targeted ads,True,False,False,True
com.bitbns,Adobe,Utility,False,False,False,False
com.bitbns,Google Ads,Targeted ads,True,False,False,True
com.bitbns,Squareup,Payment,False,False,False,False
