----Unknown Level Permission--------
Permission_name & count \\ 
android.permission.GET\_TASKS & 43 (9.4\%)\\ 
android.permission.MOUNT\_UNMOUNT\_FILESYSTEMS & 26 (5.7\%)\\ 
android.permission.READ\_LOGS & 15 (3.3\%)\\ 
android.permission.MANAGE\_DOCUMENTS & 12 (2.6\%)\\ 
android.permission.QUERY\_ALL\_PACKAGES & 5 (1.1\%)\\ 
com.android.launcher.permission.UNINSTALL\_SHORTCUT & 3 (0.7\%)\\ 
android.permission.RESTART\_PACKAGES & 2 (0.4\%)\\ 
Android.permission.WRITE\_APN\_SETTINGS & 1 (0.2\%)\\ 
android.permission.BROADCAST\_SMS & 1 (0.2\%)\\ 
android.permission.WRITE\_SECURE\_SETTINGS & 1 (0.2\%)\\ 
------------------------------------------------------ 
----Dangerous Level Permission--------
Permission_name & count \\ 
android.permission.CAMERA & 399 (87.3\%)\\ 
android.permission.WRITE\_EXTERNAL\_STORAGE & 334 (73.1\%)\\ 
android.permission.READ\_EXTERNAL\_STORAGE & 268 (58.6\%)\\ 
android.permission.INSTALL\_PACKAGES & 146 (31.9\%)\\ 
android.permission.READ\_PHONE\_STATE & 97 (21.2\%)\\ 
android.permission.ACCESS\_COARSE\_LOCATION & 96 (21.0\%)\\ 
android.permission.ACCESS\_FINE\_LOCATION & 96 (21.0\%)\\ 
android.permission.RECORD\_AUDIO & 82 (17.9\%)\\ 
android.permission.READ\_CONTACTS & 68 (14.9\%)\\ 
android.permission.GET\_ACCOUNTS & 54 (11.8\%)\\ 
android.permission.DUMP & 32 (7.0\%)\\ 
android.permission.READ\_CALENDAR & 17 (3.7\%)\\ 
android.permission.WRITE\_CALENDAR & 15 (3.3\%)\\ 
android.permission.WRITE\_CONTACTS & 12 (2.6\%)\\ 
android.permission.CALL\_PHONE & 11 (2.4\%)\\ 
com.google.android.gms.permission.ACTIVITY\_RECOGNITION & 10 (2.2\%)\\ 
android.permission.ACCESS\_BACKGROUND\_LOCATION & 8 (1.8\%)\\ 
android.permission.ACCESS\_MEDIA\_LOCATION & 4 (0.9\%)\\ 
android.permission-group.CAMERA & 2 (0.4\%)\\ 
android.permission.READ\_PHONE\_NUMBERS & 1 (0.2\%)\\ 
android.permission.READ\_CALL\_LOG & 1 (0.2\%)\\ 
android.permission.ACTIVITY\_RECOGNITION & 1 (0.2\%)\\ 
Android.permission.ACCESS\_FINE\_LOCATION & 1 (0.2\%)\\ 
------------------------------------------------------ 
----Signature Level Permission--------
Permission_name & count \\ 
android.permission.BIND\_JOB\_SERVICE & 329 (72.0\%)\\ 
android.permission.SYSTEM\_ALERT\_WINDOW & 86 (18.8\%)\\ 
android.permission.REQUEST\_INSTALL\_PACKAGES & 47 (10.3\%)\\ 
android.permission.WRITE\_SETTINGS & 41 (9.0\%)\\ 
android.permission.BIND\_REMOTEVIEWS & 24 (5.3\%)\\ 
android.permission.READ\_INTERNAL\_STORAGE & 21 (4.6\%)\\ 
android.permission.CHANGE\_CONFIGURATION & 7 (1.5\%)\\ 
android.permission.PACKAGE\_USAGE\_STATS & 6 (1.3\%)\\ 
android.permission.BIND\_CHOOSER\_TARGET\_SERVICE & 2 (0.4\%)\\ 
android.permission.BIND\_TELECOM\_CONNECTION\_SERVICE & 2 (0.4\%)\\ 
android.permission.CLEAR\_APP\_CACHE & 2 (0.4\%)\\ 
android.permission.BATTERY\_STATS & 1 (0.2\%)\\ 
android.permission.BIND\_CONDITION\_PROVIDER\_SERVICE & 1 (0.2\%)\\ 
android.permission.DELETE\_CACHE\_FILES & 1 (0.2\%)\\ 
------------------------------------------------------ 
----Normal Level Permission--------
Permission_name & count \\ 
android.permission.INTERNET & 453 (99.1\%)\\ 
android.permission.ACCESS\_NETWORK\_STATE & 404 (88.4\%)\\ 
android.permission.WAKE\_LOCK & 362 (79.2\%)\\ 
android.permission.VIBRATE & 292 (63.9\%)\\ 
android.permission.USE\_FINGERPRINT & 271 (59.3\%)\\ 
android.permission.ACCESS\_WIFI\_STATE & 195 (42.7\%)\\ 
android.permission.RECEIVE\_BOOT\_COMPLETED & 185 (40.5\%)\\ 
android.permission.USE\_BIOMETRIC & 171 (37.4\%)\\ 
android.permission.FOREGROUND\_SERVICE & 137 (30.0\%)\\ 
android.permission.BLUETOOTH & 65 (14.2\%)\\ 
android.permission.NFC & 42 (9.2\%)\\ 
android.permission.MODIFY\_AUDIO\_SETTINGS & 35 (7.7\%)\\ 
android.permission.CHANGE\_WIFI\_STATE & 34 (7.4\%)\\ 
android.permission.BLUETOOTH\_ADMIN & 29 (6.3\%)\\ 
android.permission.CHANGE\_NETWORK\_STATE & 26 (5.7\%)\\ 
android.permission.CHANGE\_WIFI\_MULTICAST\_STATE & 16 (3.5\%)\\ 
android.permission.ACCESS\_LOCATION\_EXTRA\_COMMANDS & 13 (2.8\%)\\ 
com.android.launcher.permission.INSTALL\_SHORTCUT & 12 (2.6\%)\\ 
android.permission.DISABLE\_KEYGUARD & 11 (2.4\%)\\ 
android.permission.USE\_FULL\_SCREEN\_INTENT & 8 (1.8\%)\\ 
android.permission.KILL\_BACKGROUND\_PROCESSES & 7 (1.5\%)\\ 
android.permission.READ\_SYNC\_SETTINGS & 6 (1.3\%)\\ 
android.permission.REORDER\_TASKS & 6 (1.3\%)\\ 
android.permission.WRITE\_SYNC\_SETTINGS & 5 (1.1\%)\\ 
android.permission.REQUEST\_IGNORE\_BATTERY\_OPTIMIZATIONS & 4 (0.9\%)\\ 
android.permission.BROADCAST\_STICKY & 3 (0.7\%)\\ 
android.permission.MANAGE\_OWN\_CALLS & 2 (0.4\%)\\ 
android.permission.REQUEST\_DELETE\_PACKAGES & 2 (0.4\%)\\ 
android.permission.INSTALL\_SHORTCUT & 2 (0.4\%)\\ 
android.permission.READ\_SYNC\_STATS & 1 (0.2\%)\\ 
android.permission.EXPAND\_STATUS\_BAR & 1 (0.2\%)\\ 
com.android.alarm.permission.SET\_ALARM & 1 (0.2\%)\\ 
Manifest.permission.FOREGROUND\_SERVICE & 1 (0.2\%)\\ 
------------------------------------------------------ 
----Customized Level Permission--------
Permission_name & count \\ 
com.google.android.c2dm.permission.RECEIVE & 307 (67.2\%)\\ 
com.google.android.c2dm.permission.SEND & 297 (65.0\%)\\ 
com.google.android.finsky.permission.BIND\_GET\_INSTALL\_REFERRER\_SERVICE & 290 (63.5\%)\\ 
com.google.android.gms.auth.api.signin.permission.REVOCATION\_NOTIFICATION & 113 (24.7\%)\\ 
com.huawei.android.launcher.permission.CHANGE\_BADGE & 102 (22.3\%)\\ 
com.anddoes.launcher.permission.UPDATE\_COUNT & 101 (22.1\%)\\ 
com.sonyericsson.home.permission.BROADCAST\_BADGE & 101 (22.1\%)\\ 
com.sec.android.provider.badge.permission.WRITE & 101 (22.1\%)\\ 
com.sec.android.provider.badge.permission.READ & 101 (22.1\%)\\ 
com.majeur.launcher.permission.UPDATE\_BADGE & 101 (22.1\%)\\ 
com.htc.launcher.permission.READ\_SETTINGS & 101 (22.1\%)\\ 
com.htc.launcher.permission.UPDATE\_SHORTCUT & 101 (22.1\%)\\ 
com.huawei.android.launcher.permission.READ\_SETTINGS & 96 (21.0\%)\\ 
com.huawei.android.launcher.permission.WRITE\_SETTINGS & 96 (21.0\%)\\ 
com.sonymobile.home.permission.PROVIDER\_INSERT\_BADGE & 96 (21.0\%)\\ 
android.permission.READ\_APP\_BADGE & 92 (20.1\%)\\ 
com.oppo.launcher.permission.READ\_SETTINGS & 91 (19.9\%)\\ 
com.oppo.launcher.permission.WRITE\_SETTINGS & 91 (19.9\%)\\ 
me.everything.badger.permission.BADGE\_COUNT\_READ & 90 (19.7\%)\\ 
me.everything.badger.permission.BADGE\_COUNT\_WRITE & 90 (19.7\%)\\ 
android.permission.FLASHLIGHT & 71 (15.5\%)\\ 
com.google.firebase.auth.api.gms.permission.LAUNCH\_FEDERATED\_SIGN\_IN & 51 (11.2\%)\\ 
com.google.android.providers.gsf.permission.READ\_GSERVICES & 50 (10.9\%)\\ 
com.samsung.android.providers.context.permission.WRITE\_USE\_APP\_FEATURE\_SURVEY & 31 (6.8\%)\\ 
com.fingerprints.service.ACCESS\_FINGERPRINT\_MANAGER & 23 (5.0\%)\\ 
com.android.vending.BILLING & 22 (4.8\%)\\ 
android.permission.RECEIVE\_USER\_PRESENT & 21 (4.6\%)\\ 
com.android.vending.CHECK\_LICENSE & 21 (4.6\%)\\ 
android.permission.USE\_CREDENTIALS & 20 (4.4\%)\\ 
com.google.android.gms.permission.BIND\_NETWORK\_TASK\_SERVICE & 14 (3.1\%)\\ 
android.permission.STORAGE & 13 (2.8\%)\\ 
android.permission.READ\_PROFILE & 11 (2.4\%)\\ 
android.permission.MANAGE\_ACCOUNTS & 10 (2.2\%)\\ 
host.exp.exponent.permission.C2D\_MESSAGE & 9 (2.0\%)\\ 
android.permission.WRITE\_INTERNAL\_STORAGE & 9 (2.0\%)\\ 
android.permission.DOWNLOAD\_WITHOUT\_NOTIFICATION & 8 (1.8\%)\\ 
android.permission.AUTHENTICATE\_ACCOUNTS & 6 (1.3\%)\\ 
com.huawei.appmarket.service.commondata.permission.GET\_COMMON\_DATA & 5 (1.1\%)\\ 
android.permission.SYSTEM\_OVERLAY\_WINDOW & 5 (1.1\%)\\ 
android.permission.RECORD\_VIDEO & 5 (1.1\%)\\ 
com.amazon.device.messaging.permission.RECEIVE & 5 (1.1\%)\\ 
android.permission.READ\_SETTINGS & 5 (1.1\%)\\ 
com.amazon.device.messaging.permission.SEND & 5 (1.1\%)\\ 
com.coloros.mcs.permission.RECIEVE\_MCS\_MESSAGE & 5 (1.1\%)\\ 
android.permission.ACCESS\_DOWNLOAD\_MANAGER & 4 (0.9\%)\\ 
android.permission.BROADCAST\_PACKAGE\_ADDED & 3 (0.7\%)\\ 
android.permission.BROADCAST\_PACKAGE\_REPLACED & 3 (0.7\%)\\ 
com.heytap.mcs.permission.RECIEVE\_MCS\_MESSAGE & 3 (0.7\%)\\ 
android.permission.BROADCAST\_PACKAGE\_CHANGED & 3 (0.7\%)\\ 
com.meizu.c2dm.permission.RECEIVE & 3 (0.7\%)\\ 
android.permission.READ\_PRIVILEGED\_PHONE\_STATE & 3 (0.7\%)\\ 
com.meizu.flyme.push.permission.RECEIVE & 3 (0.7\%)\\ 
android.permission.BROADCAST\_PACKAGE\_INSTALL & 3 (0.7\%)\\ 
android.hardware.camera.autofocus & 3 (0.7\%)\\ 
com.android.browser.permission.READ\_HISTORY\_BOOKMARKS & 2 (0.4\%)\\ 
com.android.launcher.permission.READ\_SETTINGS & 2 (0.4\%)\\ 
android.permission.ACCESS\_GPS & 2 (0.4\%)\\ 
android.permission.ACCESS\_MOCK\_LOCATION & 2 (0.4\%)\\ 
android.permission.GET\_TOP\_ACTIVITY\_INFO & 2 (0.4\%)\\ 
MediaStore.Images.Media.INTERNAL\_CONTENT\_URI & 2 (0.4\%)\\ 
com.coloros.mcs.permission.SEND\_MCS\_MESSAGE & 2 (0.4\%)\\ 
com.heytap.mcs.permission.SEND\_PUSH\_MESSAGE & 2 (0.4\%)\\ 
android.hardware.camera & 2 (0.4\%)\\ 
MediaStore.Images.Media.EXTERNAL\_CONTENT\_URI & 2 (0.4\%)\\ 
