app_id,N/A,customized,dangerous,normal,signature
africa.bundle.mobile.app,,6.0,7.0,10.0,1.0
africa.buycoins.buycoinsx.basic,,4.0,1.0,6.0,1.0
app.bankowallet.android,2.0,11.0,6.0,14.0,3.0
app.codecellar.embitwallet,,1.0,1.0,3.0,
app.elaphant.wallets,,10.0,8.0,8.0,4.0
app.goodcrypto,,9.0,4.0,6.0,1.0
app.hodlify,,1.0,3.0,2.0,1.0
app.odapplications.bitstashwallet,,,1.0,7.0,1.0
appinventor.ai_Traid777.WALLETBTC,,,1.0,3.0,
appinventor.ai_mlmsolution88.Troquer,,,,3.0,
appinventor.ai_oldgoldmen.CryptoWallet,,,,3.0,
asia.coins.mobile,,7.0,7.0,9.0,2.0
augstrain.asn,,4.0,2.0,6.0,2.0
bcc.org.freewallet.app,,22.0,4.0,6.0,3.0
bcn.org.freewallet.app,,22.0,4.0,6.0,3.0
bitcoin.twenty.twenty,,,1.0,1.0,
bitmesh.volt.wallet,1.0,7.0,5.0,7.0,3.0
blackdollar.bdlr.token.coin,,,1.0,4.0,
btc.org.freewallet.app,,22.0,4.0,6.0,3.0
btg.org.freewallet.app,,22.0,4.0,6.0,3.0
ca.merkley.starter,,,3.0,1.0,
capital.spatium.wallet,,18.0,3.0,5.0,4.0
cash.klever.blockchain.wallet,,18.0,7.0,8.0,4.0
cash.simply.wallet,,14.0,2.0,3.0,2.0
cash.usdx.wallet,,5.0,3.0,6.0,1.0
ceyronmoney.ceyronwallet.ceyroncryptowallet.ceyrontoken.ceytoken.ceycoin,,2.0,3.0,5.0,1.0
co.bacoor.android.hbwallet,,21.0,8.0,6.0,4.0
co.bacoor.keyring,,4.0,3.0,7.0,1.0
co.bitx.android.wallet,,6.0,7.0,8.0,1.0
co.busha.android,,3.0,5.0,7.0,1.0
co.edgesecure.app,,3.0,7.0,8.0,1.0
co.ethv2,,,,4.0,
co.hodlwallet,,1.0,3.0,5.0,1.0
co.id.dompet.btc.indonesia,,3.0,5.0,6.0,1.0
co.satoshiwallet.app,1.0,15.0,7.0,7.0,3.0
cobo.wallet,2.0,9.0,9.0,7.0,3.0
coin98.crypto.finance.media,,22.0,5.0,10.0,4.0
com.Android.Inc.bitwallet,,2.0,3.0,5.0,
com.BitcoinWalletExchange.org,,,,1.0,
com.Bitplicity.Bitplicityapp,,18.0,3.0,6.0,3.0
com.CoinsBank.CoinsBank,,3.0,3.0,4.0,1.0
com.XcelTrip.XcelPay,,20.0,3.0,7.0,4.0
com.aax.exchange,4.0,12.0,9.0,11.0,4.0
com.adb.adbcoin,,1.0,3.0,3.0,
com.agile.walletapp,,3.0,2.0,4.0,1.0
com.airbitz,,2.0,6.0,7.0,
com.airwalletofficial.air_wallet,,3.0,4.0,3.0,1.0
com.allcoinwallet.allcoinwallet,,19.0,5.0,3.0,4.0
com.alpha.wallet,,,2.0,3.0,
com.altcoin.wallet,,,3.0,7.0,
com.androidwallet,,6.0,6.0,7.0,5.0
com.ankerpay.wallet,,1.0,3.0,8.0,
com.anxbtc.android,,1.0,3.0,4.0,
com.app.asbazar59,,21.0,6.0,6.0,3.0
com.app.belfrics,,4.0,6.0,6.0,2.0
com.application.bitcoiva,,5.0,3.0,5.0,1.0
com.application.blocdesk,,9.0,7.0,6.0,1.0
com.apptrack.coinom,,4.0,3.0,10.0,1.0
com.aspanta.emcsec,,,1.0,3.0,
com.atlas.mobile.wallet,,,5.0,3.0,
com.atomex.android,,2.0,2.0,5.0,1.0
com.atomicwallet.newapp.safe,,,,1.0,
com.b4uwallet.android,,3.0,3.0,3.0,1.0
com.bcoiner.webviewapp,,,1.0,2.0,
com.beecrypt.beecrypthd,1.0,4.0,6.0,7.0,1.0
com.binance.dev,2.0,20.0,5.0,9.0,3.0
com.bit.btcwallet,,,,1.0,
com.bitazza.android,,6.0,5.0,9.0,1.0
com.bitbar.androidwallet,,,,1.0,
com.bitbns,,21.0,3.0,7.0,5.0
com.bitcoin.mwallet,,5.0,6.0,8.0,1.0
com.bitcoin.wallet.btc,,2.0,3.0,9.0,1.0
com.bitcoin.wallet.btc.testnet,,4.0,4.0,6.0,1.0
com.bitcoin.wallet.cryptopuce,,18.0,4.0,5.0,3.0
com.bitcoinblack.wallet,,2.0,3.0,6.0,
com.bitcoinblockchain.suyd,,4.0,3.0,7.0,1.0
com.bitcoinfast.androidwallet,,,,1.0,
com.bitcoinglobal,,4.0,,7.0,1.0
com.bitcoininc.bitcoinpay,,,2.0,5.0,
com.bitcoinindia.Btciapp,,21.0,5.0,5.0,3.0
com.bitcoinofamerica.wallet,,3.0,7.0,8.0,1.0
com.bitcoinscrypt.androidwallet,,,,1.0,
com.bitexuae,,6.0,3.0,6.0,1.0
com.bitkub,,19.0,5.0,9.0,5.0
com.bitlox.mobilewallet,,,4.0,5.0,
com.bitmart.bitmarket,1.0,5.0,7.0,8.0,2.0
com.bitnovo.app,,3.0,7.0,7.0,1.0
com.bitorzo.wallet,,3.0,5.0,6.0,
com.bitpapa,,19.0,,5.0,3.0
com.bitpay.coincloud,,5.0,5.0,5.0,1.0
com.bitpay.wallet,,5.0,3.0,6.0,1.0
com.bitpie,2.0,1.0,9.0,9.0,1.0
com.bitrue.currency.exchange,,4.0,3.0,6.0,1.0
com.bitshield.bitshieldwallet,,,2.0,2.0,1.0
com.bitso.wallet,,4.0,2.0,8.0,1.0
com.bitvirya.app,,,3.0,2.0,
com.bityard.us2,1.0,4.0,7.0,6.0,
com.bitzapp,,4.0,4.0,5.0,2.0
com.bitzhash.wallet.bitcoin,,,1.0,2.0,
com.bixin.bixin_android,3.0,8.0,11.0,15.0,5.0
